Date,SGDperUSD
2016-01-01,1.411075
2016-01-04,1.42982
2016-01-11,1.43798
2016-01-18,1.4373799999999999
2016-01-25,1.4289399999999999
2016-02-01,1.41878
2016-02-08,1.393
2016-02-15,1.40434
2016-02-22,1.40324
2016-02-29,1.39834
2016-03-07,1.382
2016-03-14,1.37014
2016-03-21,1.3631
2016-03-28,1.36004
2016-04-04,1.35276
2016-04-11,1.35236
2016-04-18,1.34794
2016-04-25,1.35038
2016-05-02,1.352825
2016-05-09,1.36934
2016-05-16,1.3746
2016-05-23,1.3782
2016-05-30,1.37848
2016-06-06,1.3552799999999998
2016-06-13,1.35392
2016-06-20,1.34598
2016-06-27,1.35198
2016-07-04,1.347725
2016-07-11,1.3467799999999999
2016-07-18,1.35366
2016-07-25,1.35572
2016-08-01,1.34114
2016-08-08,1.3444
2016-08-15,1.3431600000000001
2016-08-22,1.35206
2016-08-29,1.36124
2016-09-05,1.3525
2016-09-12,1.363025
2016-09-19,1.3602
2016-09-26,1.3612600000000001
2016-10-03,1.36952
2016-10-10,1.38094
2016-10-17,1.38972
2016-10-24,1.39234
2016-10-31,1.3882
2016-11-07,1.39494
2016-11-14,1.41662
2016-11-21,1.42836
2016-11-28,1.4257799999999998
2016-12-05,1.4216799999999998
2016-12-12,1.43228
2016-12-19,1.44632
2016-12-26,1.448525
2016-12-30,1.4463
2017-01-03,1.4473
2017-01-06,1.4316
2017-01-13,1.4280000000000002
2017-01-20,1.4239
2017-01-27,1.4259
2017-02-03,1.4132
2017-02-10,1.4212
2017-02-17,1.4174
2017-02-24,1.4047
2017-03-03,1.4135
2017-03-10,1.4201
2017-03-17,1.4034
2017-03-24,1.4009
2017-03-31,1.3978
2017-04-07,1.4017
2017-04-13,1.3940000000000001
2017-04-21,1.3977
2017-04-28,1.3964
2017-05-05,1.4015
2017-05-12,1.4091
2017-05-19,1.3924
2017-05-26,1.3858
2017-06-02,1.3863
2017-06-09,1.3825
2017-06-16,1.3851
2017-06-23,1.3894
2017-06-30,1.3773
2017-07-07,1.3822
2017-07-14,1.3756
2017-07-21,1.3658
2017-07-28,1.3608
2017-08-04,1.3579
2017-08-11,1.3632
2017-08-18,1.365
2017-08-25,1.3606
2017-08-31,1.3584
2017-09-08,1.337
2017-09-15,1.3467
2017-09-22,1.3491
2017-09-29,1.3584
2017-10-06,1.3666
2017-10-13,1.3542
2017-10-20,1.3595
2017-10-27,1.3682
2017-11-03,1.3612
2017-11-10,1.3589
2017-11-17,1.3541
2017-11-24,1.3468
2017-12-01,1.3481
2017-12-08,1.3514
2017-12-15,1.3472
