time ,Baseline
2015-01-01 00:00:00,4498.58
2015-01-01 00:30:00,4452.31
2015-01-01 01:00:00,4409.886
2015-01-01 01:30:00,4373.47
2015-01-01 02:00:00,4334.386
2015-01-01 02:30:00,4274.687
2015-01-01 03:00:00,4222.164
2015-01-01 03:30:00,4187.433
2015-01-01 04:00:00,4159.184
2015-01-01 04:30:00,4149.15
2015-01-01 05:00:00,4153.404
2015-01-01 05:30:00,4185.768
2015-01-01 06:00:00,4235.881
2015-01-01 06:30:00,4268.28
2015-01-01 07:00:00,4269.752
2015-01-01 07:30:00,4340.743
2015-01-01 08:00:00,4464.849
2015-01-01 08:30:00,4582.459
2015-01-01 09:00:00,4666.894
2015-01-01 09:30:00,4741.852
2015-01-01 10:00:00,4805.299
2015-01-01 10:30:00,4884.695
2015-01-01 11:00:00,4907.547
2015-01-01 11:30:00,4883.189
2015-01-01 12:00:00,4870.003
2015-01-01 12:30:00,4871.092
2015-01-01 13:00:00,4871.822
2015-01-01 13:30:00,4885.872
2015-01-01 14:00:00,4888.422
2015-01-01 14:30:00,4889.366
2015-01-01 15:00:00,4893.675
2015-01-01 15:30:00,4893.646
2015-01-01 16:00:00,4863.363
2015-01-01 16:30:00,4842.718
2015-01-01 17:00:00,4853.239
2015-01-01 17:30:00,4868.279
2015-01-01 18:00:00,4907.323
2015-01-01 18:30:00,5001.395
2015-01-01 19:00:00,5088.281
2015-01-01 19:30:00,5106.148
2015-01-01 20:00:00,5118.215
2015-01-01 20:30:00,5124.259
2015-01-01 21:00:00,5082.252
2015-01-01 21:30:00,4953.624
2015-01-01 22:00:00,4815.83
2015-01-01 22:30:00,4712.504
2015-01-01 23:00:00,4621.444
2015-01-01 23:30:00,4546.933
2015-01-02 00:00:00,4497.209
2015-01-02 00:30:00,4424.179
2015-01-02 01:00:00,4321.44
2015-01-02 01:30:00,4238.977
2015-01-02 02:00:00,4191.807
2015-01-02 02:30:00,4153.275
2015-01-02 03:00:00,4121.988
2015-01-02 03:30:00,4104.211
2015-01-02 04:00:00,4100.389
2015-01-02 04:30:00,4123.912
2015-01-02 05:00:00,4193.855
2015-01-02 05:30:00,4326.106
2015-01-02 06:00:00,4489.943
2015-01-02 06:30:00,4627.299
2015-01-02 07:00:00,4832.207
2015-01-02 07:30:00,5234.086
2015-01-02 08:00:00,5633.873
2015-01-02 08:30:00,5817.753
2015-01-02 09:00:00,5855.53
2015-01-02 09:30:00,5941.71
2015-01-02 10:00:00,5872.815
2015-01-02 10:30:00,5952.4
2015-01-02 11:00:00,5979.745
2015-01-02 11:30:00,5945.72
2015-01-02 12:00:00,5898.769
2015-01-02 12:30:00,5890.618
2015-01-02 13:00:00,5929.036
2015-01-02 13:30:00,5973.498
2015-01-02 14:00:00,5981.355
2015-01-02 14:30:00,5948.687
2015-01-02 15:00:00,5934.349
2015-01-02 15:30:00,5928.315
2015-01-02 16:00:00,5908.445
2015-01-02 16:30:00,5867.96
2015-01-02 17:00:00,5790.025
2015-01-02 17:30:00,5694.402
2015-01-02 18:00:00,5633.306
2015-01-02 18:30:00,5632.874
2015-01-02 19:00:00,5618.227
2015-01-02 19:30:00,5590.216
2015-01-02 20:00:00,5550.541
2015-01-02 20:30:00,5492.476
2015-01-02 21:00:00,5407.807
2015-01-02 21:30:00,5289.133
2015-01-02 22:00:00,5138.791
2015-01-02 22:30:00,4997.171
2015-01-02 23:00:00,4878.621
2015-01-02 23:30:00,4650.17
2015-01-03 00:00:00,4444.586
2015-01-03 00:30:00,4363.148
2015-01-03 01:00:00,4364.067
2015-01-03 01:30:00,4327.175
2015-01-03 02:00:00,4282.639
2015-01-03 02:30:00,4243.276
2015-01-03 03:00:00,4198.969
2015-01-03 03:30:00,4172.981
2015-01-03 04:00:00,4172.146
2015-01-03 04:30:00,4188.885
2015-01-03 05:00:00,4219.465
2015-01-03 05:30:00,4285.919
2015-01-03 06:00:00,4367.67
2015-01-03 06:30:00,4468.358
2015-01-03 07:00:00,4596.961
2015-01-03 07:30:00,4788.192
2015-01-03 08:00:00,4986.679
2015-01-03 08:30:00,5150.813
2015-01-03 09:00:00,5277.131
2015-01-03 09:30:00,5380.243
2015-01-03 10:00:00,5462.542
2015-01-03 10:30:00,5506.337
2015-01-03 11:00:00,5509.359
2015-01-03 11:30:00,5465.588
2015-01-03 12:00:00,5417.195
2015-01-03 12:30:00,5383.683
2015-01-03 13:00:00,5366.501
2015-01-03 13:30:00,5356.666
2015-01-03 14:00:00,5337.432
2015-01-03 14:30:00,5304.834
2015-01-03 15:00:00,5271.748
2015-01-03 15:30:00,5212.123
2015-01-03 16:00:00,5185.28
2015-01-03 16:30:00,5149.561
2015-01-03 17:00:00,5126.848
2015-01-03 17:30:00,5096.586
2015-01-03 18:00:00,5109.478
2015-01-03 18:30:00,5194.296
2015-01-03 19:00:00,5257.276
2015-01-03 19:30:00,5255.163
2015-01-03 20:00:00,5239.135
2015-01-03 20:30:00,5228.872
2015-01-03 21:00:00,5192.044
2015-01-03 21:30:00,5106.839
2015-01-03 22:00:00,5016.151
2015-01-03 22:30:00,4933.768
2015-01-03 23:00:00,4841.63
2015-01-03 23:30:00,4644.837
2015-01-04 00:00:00,4461.932
2015-01-04 00:30:00,4371.786
2015-01-04 01:00:00,4355.131
2015-01-04 01:30:00,4307.936
2015-01-04 02:00:00,4264.036
2015-01-04 02:30:00,4229.201
2015-01-04 03:00:00,4205.658
2015-01-04 03:30:00,4181.474
2015-01-04 04:00:00,4162.857
2015-01-04 04:30:00,4162.236
2015-01-04 05:00:00,4186.708
2015-01-04 05:30:00,4233.883
2015-01-04 06:00:00,4286.292
2015-01-04 06:30:00,4318.607
2015-01-04 07:00:00,4343.954
2015-01-04 07:30:00,4430.829
