Month,"Coal, Australian"
2015-01-01,61.44
2015-02-01,69.05
2015-03-01,64.76
2015-04-01,56.24
2015-05-01,61.19
2015-06-01,58.96
2015-07-01,59.9
2015-08-01,59.14
2015-09-01,57.65
2015-10-01,54.26
2015-11-01,52.47
2015-12-01,52.21
2016-01-01,49.02
2016-02-01,50.27
2016-03-01,52.21
2016-04-01,50.69
2016-05-01,51.31
2016-06-01,52.85
2016-07-01,61.24
2016-08-01,67.39
2016-09-01,72.72
2016-10-01,94.2
2016-11-01,103.43
2016-12-01,88.15
2017-01-01,83.73
2017-02-01,79.98
2017-03-01,80.9
2017-04-01,83.65
2017-05-01,74.42
2017-06-01,81.09
2017-07-01,87.49
2017-08-01,98.58
2017-09-01,97.82
2017-10-01,97.11
2017-11-01,96.64
2017-12-01,100.81
2018-01-01,106.45
2018-02-01,105.95
2018-03-01,96.66
2018-04-01,93.69
2018-05-01,105.29
2018-06-01,114.33
2018-07-01,119.57
2018-08-01,117.34
2018-09-01,114.16
2018-10-01,108.73
2018-11-01,100.73
2018-12-01,101.37
2019-01-01,98.56
2019-02-01,95.42
2019-03-01,93.12
2019-04-01,86.77
2019-05-01,82.32
2019-06-01,72.49
2019-07-01,72.08
2019-08-01,65.55
2019-09-01,65.95
2019-10-01,68.92
2019-11-01,66.99
2019-12-01,66.18
2020-01-01,69.66
2020-02-01,67.64
2020-03-01,66.74
2020-04-01,58.55
2020-05-01,52.49
2020-06-01,52.21
2020-07-01,51.56
2020-08-01,50.14
2020-09-01,54.6
2020-10-01,58.4
2020-11-01,64.4
2020-12-01,83.03
2021-01-01,86.83
2021-02-01,86.74
2021-03-01,94.92
2021-04-01,92.22
2021-05-01,107.04
