Month,"Crude oil, Dubai"
2015-01-01,45.98
2015-02-01,55.83
2015-03-01,54.91
2015-04-01,58.8
2015-05-01,63.69
2015-06-01,61.78
2015-07-01,56.25
2015-08-01,47.22
2015-09-01,46.15
2015-10-01,46.55
2015-11-01,42.22
2015-12-01,34.77
2016-01-01,27.0
2016-02-01,29.5
2016-03-01,35.18
2016-04-01,39.04
2016-05-01,43.95
2016-06-01,45.83
2016-07-01,42.62
2016-08-01,43.74
2016-09-01,43.74
2016-10-01,48.26
2016-11-01,43.77
2016-12-01,51.78
2017-01-01,53.37
2017-02-01,54.17
2017-03-01,51.16
2017-04-01,52.45
2017-05-01,50.31
2017-06-01,46.44
2017-07-01,47.63
2017-08-01,50.43
2017-09-01,53.86
2017-10-01,55.58
2017-11-01,60.58
2017-12-01,61.41
2018-01-01,66.02
2018-02-01,62.79
2018-03-01,63.29
2018-04-01,68.43
2018-05-01,73.66
2018-06-01,73.22
2018-07-01,72.72
2018-08-01,72.13
2018-09-01,77.02
2018-10-01,78.96
2018-11-01,65.11
2018-12-01,56.47
2019-01-01,58.96
2019-02-01,64.32
2019-03-01,66.8
2019-04-01,70.66
2019-05-01,69.13
2019-06-01,61.3
2019-07-01,62.91
2019-08-01,58.92
2019-09-01,60.84
2019-10-01,58.47
2019-11-01,61.41
2019-12-01,64.41
2020-01-01,63.76
2020-02-01,54.51
2020-03-01,33.75
2020-04-01,23.27
2020-05-01,31.56
2020-06-01,40.14
2020-07-01,42.64
2020-08-01,43.71
2020-09-01,41.1
2020-10-01,39.7
2020-11-01,42.58
2020-12-01,49.26
2021-01-01,54.16
2021-02-01,60.37
2021-03-01,63.95
2021-04-01,62.37
2021-05-01,65.98
