Month,"Crude oil, WTI"
2015-01-01,47.27
2015-02-01,50.61
2015-03-01,47.78
2015-04-01,54.44
2015-05-01,59.27
2015-06-01,59.8
2015-07-01,50.9
2015-08-01,42.86
2015-09-01,45.45
2015-10-01,46.2
2015-11-01,42.7
2015-12-01,37.23
2016-01-01,31.54
2016-02-01,30.39
2016-03-01,37.77
2016-04-01,40.96
2016-05-01,46.73
2016-06-01,48.75
2016-07-01,44.69
2016-08-01,44.75
2016-09-01,45.2
2016-10-01,49.89
2016-11-01,45.57
2016-12-01,52.01
2017-01-01,52.51
2017-02-01,53.4
2017-03-01,49.58
2017-04-01,51.06
2017-05-01,48.5
2017-06-01,45.17
2017-07-01,46.65
2017-08-01,48.03
2017-09-01,49.83
2017-10-01,51.56
2017-11-01,56.65
2017-12-01,57.94
2018-01-01,63.67
2018-02-01,62.17
2018-03-01,62.76
2018-04-01,66.32
2018-05-01,69.98
2018-06-01,67.52
2018-07-01,70.84
2018-08-01,67.99
2018-09-01,70.21
2018-10-01,70.75
2018-11-01,56.67
2018-12-01,48.95
2019-01-01,51.52
2019-02-01,54.95
2019-03-01,58.15
2019-04-01,63.87
2019-05-01,60.84
2019-06-01,54.68
2019-07-01,57.52
2019-08-01,54.84
2019-09-01,56.95
2019-10-01,53.98
2019-11-01,57.06
2019-12-01,59.8
2020-01-01,57.52
2020-02-01,50.53
2020-03-01,29.88
2020-04-01,16.52
2020-05-01,28.56
2020-06-01,38.3
2020-07-01,40.75
2020-08-01,42.36
2020-09-01,39.6
2020-10-01,39.53
2020-11-01,41.1
2020-12-01,47.05
2021-01-01,52.1
2021-02-01,59.06
2021-03-01,62.35
2021-04-01,61.71
2021-05-01,65.18
